video_id,thumb_ocr_text_V2,clean_thumb_ocr_text_V2,bboxes
56KYMMGudcU,revival vevo,revival,"[""[[310, 72], [440, 90]]""]"
5DpvCOebmo4,avenders,,[]
5ER1LOarlgg,bbc 5 radio live,radio live,"[""[[228, 97], [296, 119]]"", ""[[398, 109], [468, 148]]""]"
5GHXEGz3PJg,vevo,,[]
5KKszaZ4uOw,i,,[]
5LCjvpjhf_4,sound bb music of 2018,sound music,"[""[[210, 260], [316, 288]]"", ""[[165, 285], [201, 297]]""]"
5NaAwSpswJE,umiz,,[]
5O4h2x9NuTk,alert late show false alarm stephen colbert colbert,alert late show false alarm,"[""[[46, 69], [136, 94]]"", ""[[374, 208], [445, 234]]"", ""[[389, 232], [464, 257]]"", ""[[76, 242], [177, 272]]"", ""[[186, 242], [296, 270]]""]"
5PI1xwT2-74,al s,,[]
5R2ZZ-t8XS0,smacklown live,live,"[""[[94, 282], [173, 304]]""]"
5TTdcyRi-nw,rapidtrailer trailer hd,trailer,"[""[[22, 216], [184, 250]]""]"
5UL5wZJPLEg,total divas,total diva,"[""[[44, 261], [128, 276]]"", ""[[22, 273], [154, 304]]""]"
5c7FL9QV1bs,orville fox,fox,"[""[[308, 264], [368, 290]]""]"
5deYJLWFplc,to,,[]
5fW5dsc0-5g,frightday,,[]
5iOhzJdDawE,sionos marvel avenders infinity war,marvel infinity war,"[""[[77, 232], [101, 241]]"", ""[[29, 284], [116, 297]]"", ""[[126, 285], [168, 297]]""]"
5n9xafjynJA,event minutes tesla in 9,event minute,"[""[[141, 254], [230, 298]]"", ""[[308, 254], [438, 298]]""]"
5qxqo2CQakA,star wars fan every iblankj ever,star war fan every ever,"[""[[276, 87], [439, 141]]"", ""[[273, 134], [448, 186]]"", ""[[296, 179], [429, 234]]"", ""[[26, 203], [105, 227]]"", ""[[26, 278], [90, 301]]""]"
5tCyAEMaE-I,by written robotsa scree news,write scree news,"[""[[23, 75], [178, 135]]"", ""[[72, 253], [102, 262]]"", ""[[68, 261], [153, 302]]""]"
5uXsCaakZD8,tostop time its,time,"[""[[135, 226], [244, 286]]""]"
5w1GdX44DHc,final 2018 liverpool emirates standard chartered a you tube 3 1 madrid liverpool real my funny games builder,final emirate standard charter tube real funny game builder,"[""[[158, 49], [244, 73]]"", ""[[110, 158], [165, 178]]"", ""[[320, 165], [354, 173]]"", ""[[317, 173], [354, 181]]"", ""[[445, 234], [474, 252]]"", ""[[27, 266], [89, 286]]"", ""[[186, 298], [218, 310]]"", ""[[237, 298], [269, 310]]"", ""[[268, 298], [309, 310]]""]"
5wVnr3cahQg,falala holiday ia gift guide,holiday gift guide,"[""[[45, 52], [311, 120]]"", ""[[104, 104], [243, 171]]"", ""[[84, 151], [275, 217]]""]"
5x-d3pabd5o,vevo,,[]
5zP4yWzb24M,bb jools annual two hootenanny,annual two,"[""[[200, 248], [300, 266]]"", ""[[28, 264], [92, 286]]""]"
61G3tDZQNhg,royal rumble,royal rumble,"[""[[26, 253], [129, 278]]"", ""[[13, 282], [137, 306]]""]"
61SWGdZ2p2M,havana,,[]
66kn6Dcr12E,taylor swifts reputation stadium tour taylorswiflcom,swift reputation stadium tour,"[""[[336, 138], [397, 154]]"", ""[[217, 150], [459, 206]]"", ""[[281, 201], [350, 218]]"", ""[[352, 202], [394, 218]]""]"
676hNIhKO2M,madison beer say it to my face vevo,beer say face,"[""[[218, 84], [261, 101]]"", ""[[172, 124], [201, 136]]"", ""[[269, 124], [308, 136]]""]"
6781x0TTSks,jesse williams niall horan,,[]
6BhLaE0PHRA,jimmy hommely livei,jimmy,"[""[[41, 206], [105, 230]]""]"
6Do5X8A2HYQ,a any,,[]
6EHbZKLkeMg,images thebreakeast club laura govan,image club laura,"[""[[445, 53], [473, 60]]"", ""[[94, 100], [170, 125]]"", ""[[14, 238], [139, 273]]""]"
6F5x2ArbQKU,rephy and,,[]
6HZ-nfMfu8o,cah you beat super mar odyssey without jumpingr,beat super mar without,"[""[[187, 57], [287, 87]]"", ""[[66, 87], [166, 134]]"", ""[[45, 121], [152, 179]]"", ""[[57, 245], [228, 272]]""]"
6IL4sMC_XBE,snl,,[]
6J-D86wfxiE,sxm sirk xxm i triusa siriusx black panther cast,black panther cast,"[""[[5, 270], [146, 304]]"", ""[[157, 272], [350, 304]]"", ""[[361, 272], [472, 304]]""]"
6Km34EXxGZ4,weeks 3 ago you look like albino rat a reply,week ago look like albino rat reply,"[""[[368, 237], [404, 249]]"", ""[[404, 238], [426, 250]]"", ""[[320, 256], [349, 269]]"", ""[[349, 256], [374, 269]]"", ""[[385, 256], [425, 269]]"", ""[[425, 257], [445, 269]]"", ""[[294, 277], [326, 290]]""]"
6OcOO1k-vGE,vevo,,[]
6QtjdDiMLVg,dulasmest firepower vevo,firepower,"[""[[138, 53], [227, 105]]""]"
6S3phVSi0tI,widows trailer,widow trailer,"[""[[21, 59], [190, 90]]"", ""[[15, 269], [194, 318]]""]"
6S9c5nnDd_s,bohemian rhapsody official trailer,rhapsody official trailer,"[""[[25, 100], [128, 117]]"", ""[[16, 225], [240, 265]]"", ""[[17, 264], [220, 306]]""]"
6SuMbFuKDf8,vevo,,[]
6TOSV3-7hzU,survive the desert,survive desert,"[""[[106, 108], [376, 169]]"", ""[[204, 166], [374, 210]]""]"
6UcGyTD8twE,tromelancys siege rainbowsix new map villa,siege new map villa,"[""[[130, 60], [206, 101]]"", ""[[13, 244], [82, 276]]"", ""[[91, 243], [171, 275]]"", ""[[11, 275], [101, 309]]""]"
6Y65fxIRs8Q,sister to the rescuel,sister,"[""[[192, 296], [220, 306]]""]"
6YNZlXfW6Ho,vevo,,[]
6ZfuNTqbHE8,marvel studios avenders war official trailer,marvel studio war official trailer,"[""[[220, 190], [246, 202]]"", ""[[246, 190], [274, 204]]"", ""[[274, 250], [317, 262]]"", ""[[42, 272], [243, 302]]"", ""[[269, 272], [441, 301]]""]"
6_DgXvcfhYg,vevo,,[]
6epjkX1sr2M,christmas guides giff heri gifts for,guide gift,"[""[[364, 86], [485, 164]]"", ""[[24, 249], [180, 298]]""]"
6h8QgZF5Qu4,drop these mic atshow james corden,drop,"[""[[164, 165], [314, 240]]""]"
6hhNXHojemc,bai er vd today,today,"[""[[20, 276], [132, 302]]""]"
6i9UUvxhAlY,eleven dou makeup zeleven linezi,eleven,"[""[[368, 111], [454, 145]]""]"
6iVbBd9h7W8,the under skin 443 russell brand universe god the 8 meaning prof brian cox with,skin brand universe god meaning prof cox,"[""[[141, 61], [181, 74]]"", ""[[246, 142], [285, 152]]"", ""[[246, 162], [374, 188]]"", ""[[113, 166], [181, 189]]"", ""[[194, 189], [320, 209]]"", ""[[213, 221], [242, 233]]"", ""[[280, 221], [305, 233]]""]"
6jV798JxoTY,just being honest,honest,"[""[[233, 171], [467, 218]]""]"
6p-QzY5bxJ0,it the reshow james corden,,[]
6rCBG57gQJ8,classic lego 499 louise deas knoldand,classic,"[""[[268, 132], [340, 155]]""]"
6sHIq41sI-w,bouch smtown official,official,"[""[[108, 268], [192, 285]]""]"
6uBuxJXlWrQ,bbc news,news,"[""[[29, 238], [94, 257]]""]"
6uGQ_ypTw08,vevo,,[]
6uJf2IT2Zh8,smtown official,official,"[""[[108, 268], [193, 285]]""]"
6zRtrLBg3vk,tebrealiast deontay wilder interview revolt,wilder interview revolt,"[""[[172, 118], [298, 149]]"", ""[[60, 152], [241, 182]]"", ""[[244, 278], [286, 294]]""]"
