video_id,thumbnail_link,region,mean_r,mean_g,mean_b,std_r,std_g,std_b,entropy,thumb_ocr_text,clean_thumb_ocr_text
IOd0HGH6xKI,https://i.ytimg.com/vi/IOd0HGH6xKI/default.jpg,GB,103.41406828703704,87.49032407407407,89.47796875,73.75091885809012,71.08380380450866,73.25352302108445,6.538978028712991," 
",
sLJdBmAeB_U,https://i.ytimg.com/vi/sLJdBmAeB_U/default.jpg,GB,162.7307638888889,99.2799537037037,105.74320023148148,96.81909300943542,83.55168965089793,78.45147442696185,6.635998159250268," 
",
_wM_jY_rass,https://i.ytimg.com/vi/_wM_jY_rass/default.jpg,GB,,,,,,,,,
mCx26FLXWuI,https://i.ytimg.com/vi/mCx26FLXWuI/default.jpg,GB,51.68631944444444,31.91244212962963,29.36736689814815,73.26553633983364,57.033421166205,55.217545886569376,5.669162005398083," 
",
R59TevgzN3k,https://i.ytimg.com/vi/R59TevgzN3k/default.jpg,GB,,,,,,,,,
iDXlWTRyxgE,https://i.ytimg.com/vi/iDXlWTRyxgE/default.jpg,GB,42.60156828703704,36.73670717592593,43.80701388888889,48.52179560937444,42.00542223918102,55.92919084260794,6.184223980228969," 
",
z4bLKt9k5dk,https://i.ytimg.com/vi/z4bLKt9k5dk/default.jpg,GB,121.90176504629628,84.81080439814815,99.93829861111112,93.30737162052613,78.54899360267093,76.78577742156301,6.663896839818933," 
",
GdR-iTH_f-I,https://i.ytimg.com/vi/GdR-iTH_f-I/default.jpg,GB,78.20171296296296,62.610590277777774,38.92671296296297,80.51759983778771,61.02428746819526,43.84002681076231,6.272417211330598," 

we |” 7S
A le

ba oll
ee
",
axVvZrDz60k,https://i.ytimg.com/vi/axVvZrDz60k/default.jpg,GB,112.7472800925926,10.914189814814817,8.43617476851852,80.19800105608452,37.15361564008682,21.27927559522396,4.93512550796446,,
Wjq7x2d_s1w,https://i.ytimg.com/vi/Wjq7x2d_s1w/default.jpg,GB,58.84474537037037,82.45534722222222,82.00328125,41.86898732597483,65.77590785952229,67.07352641998595,5.919190898795268," 
",
aaOB-ErYq6Y,https://i.ytimg.com/vi/aaOB-ErYq6Y/default.jpg,GB,64.12539351851852,68.91695601851852,64.86291666666666,66.90792072073626,72.72439683738158,66.7554339916603,6.655894180737926," 
",
FmYMq9EHhdE,https://i.ytimg.com/vi/FmYMq9EHhdE/default.jpg,GB,151.02513310185185,134.2411111111111,127.40592013888887,98.4098164143466,99.87161707834365,99.25934332318148,6.652110763180904," 
",
NHglTopVlKQ,https://i.ytimg.com/vi/NHglTopVlKQ/default.jpg,GB,73.05139467592592,70.4975925925926,73.4918287037037,61.68289485060553,56.00319182154886,57.504986723283054,6.580343880412128," 
",
TQ2uDO5CbYg,https://i.ytimg.com/vi/TQ2uDO5CbYg/default.jpg,GB,21.494467592592592,25.31050925925926,37.90997106481481,36.4581013255203,39.88177242173517,55.3160349058659,4.73519460282421," 
",
4j-ED6tL85o,https://i.ytimg.com/vi/4j-ED6tL85o/default.jpg,GB,56.078836805555554,54.253501157407406,44.272019675925925,63.1759857813275,60.431350436936896,49.7788851979339,5.415585038502175," 
",
r1afdZk0qcI,https://i.ytimg.com/vi/r1afdZk0qcI/default.jpg,GB,45.36458912037037,27.905642361111116,36.38241898148148,73.2577516724671,43.70784665667714,40.25624512949868,5.207548444731483," 
",
n1rblnOWhmM,https://i.ytimg.com/vi/n1rblnOWhmM/default.jpg,GB,103.70461226851852,69.3883912037037,73.23369791666667,82.39024424516516,70.36370697142321,72.72402749984681,6.801969195607389," 
",
3iXwXYflCSI,https://i.ytimg.com/vi/3iXwXYflCSI/default.jpg,GB,91.8258101851852,76.75063657407408,70.59306134259259,83.23686739113892,76.94503663519528,74.33018613635348,6.830211173194177," 
",
6jV798JxoTY,https://i.ytimg.com/vi/6jV798JxoTY/default.jpg,GB,79.32162615740741,74.03440972222222,79.5321412037037,88.91522361581421,79.74798671702989,81.63619079489915,6.58161461569465," 
",
