video_id,thumb_ocr_text_V2,clean_thumb_ocr_text_V2,bboxes
utt5KbDzLMw,showme me show youtube originals,showme show youtube original,"[""[[20, 232], [81, 268]]"", ""[[22, 265], [80, 278]]"", ""[[6, 286], [56, 304]]"", ""[[54, 286], [109, 308]]""]"
uuC_Q5uRuQ8,lush factory tour lush,lush factory tour,"[""[[345, 161], [380, 174]]"", ""[[166, 84], [316, 109]]"", ""[[196, 122], [286, 148]]""]"
uuTgFF5uKhw,cavs the newlook leveland veland cleveland cleveland,cavs newlook leveland veland cleveland,"[""[[345, 68], [464, 121]]"", ""[[108, 69], [338, 121]]"", ""[[380, 259], [454, 287]]"", ""[[163, 258], [226, 290]]"", ""[[32, 277], [121, 305]]""]"
uv01LejpzJM,five finger death punch am vevo,five finger death punch vevo,"[""[[160, 254], [190, 272]]"", ""[[190, 254], [236, 272]]"", ""[[236, 254], [277, 272]]"", ""[[277, 254], [318, 273]]"", ""[[12, 278], [102, 305]]""]"
uvTZ86gl7mc,promo hd,promo,"[""[[18, 209], [136, 236]]""]"
uvVIL5-Ckpg,black mirror analysis crocodile,black mirror analysis crocodile,"[""[[10, 58], [117, 93]]"", ""[[122, 58], [248, 93]]"", ""[[54, 94], [215, 134]]"", ""[[22, 224], [306, 272]]""]"
uvkXIJhdUw4,kims kez bequly lips real,kims kez bequly lip real,"[""[[80, 160], [287, 224]]"", ""[[297, 164], [424, 216]]"", ""[[155, 209], [314, 289]]"", ""[[308, 212], [405, 274]]"", ""[[34, 261], [78, 282]]""]"
uwNKLuy-x-I,8,,[]
uwwF9ZYhxeM,shour workout 15 models no1 calorie 1000 full body house workout,shour workout model no1 calorie 1000 full body house,"[""[[27, 61], [69, 92]]"", ""[[136, 241], [343, 279]]"", ""[[123, 102], [276, 133]]"", ""[[287, 103], [357, 131]]"", ""[[210, 138], [396, 173]]"", ""[[90, 140], [193, 173]]"", ""[[128, 174], [228, 208]]"", ""[[244, 174], [362, 208]]"", ""[[182, 212], [260, 245]]""]"
ux4RNzeHAoQ,black panther parody king bach by,black panther parody king bach,"[""[[313, 61], [437, 122]]"", ""[[286, 118], [465, 180]]"", ""[[302, 178], [465, 238]]"", ""[[409, 289], [436, 308]]"", ""[[436, 289], [464, 308]]""]"
